Time,FrameCounter,Signal0,Reference0,Delta0,Compensation0,State0,Threshold0,Signal1,Reference1,Delta1,Compensation1,State1,Threshold1,Signal2,Reference2,Delta2,Compensation2,State2,Threshold2,Signal3,Reference3,Delta3,Compensation3,State3,Threshold3,Signal4,Reference4,Delta4,Compensation4,State4,Threshold4,SWState0,SWDelta0,SWThreshold0,SWPosition0,CurrentFrequency,HopFrequency0,HopFrequency1,HopFrequency2,QTouchLibError,FRAME_END
20:48.9,73,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,73
20:48.9,74,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,74
20:48.9,75,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,75
20:48.9,76,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,76
20:48.9,77,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,77
20:49.0,78,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,78
20:49.0,79,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,79
20:49.0,80,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,13,13,15,1,0,80
20:49.0,81,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,15,13,15,1,0,81
20:49.0,82,511,511,0,21.6875,0,20,515,515,0,18.0625,0,20,505,505,0,14.125,0,20,510,510,0,15.0625,0,20,528,528,0,15.0625,0,20,0,0,20,4,1,13,15,1,0,82
