time,delta0,delta1,delta2,delta3,delta4
351,0001,-003,0003,0010,0003,
352,0001,0000,0008,0012,0003,
353,0009,0007,0016,0023,0013,
354,0012,0013,0026,0042,0022,
355,0026,0030,0062,0086,0051,
356,0034,0053,0168,0189,0069,
357,0059,0226,0168,0189,0109,
358,0059,0226,0150,0179,0109,
359,0059,0101,0105,0124,0070,
360,0059,0059,0086,0105,0063,
361,0059,0041,0086,0105,0063,
362,0015,0019,0051,0065,0026,
363,0015,0012,0051,0065,0026,
364,0015,0012,0035,0047,0022,
365,0015,0012,0020,0023,0005,
366,0015,0012,0020,0023,0005,
367,0015,0012,0020,0020,0005,
368,0002,-003,0011,0010,-001,
369,0002,-003,0011,0010,-001,
370,0002,-003,0011,0007,-001,
371,0000,0000,0002,0002,-001,
372,0000,0000,0002,0002,-001,
373,0000,0000,0002,0002,-001,
374,-003,-004,0002,0003,-004,
375,-003,-004,0002,0003,-004,
376,-002,0001,0002,0003,-004,
377,0001,0001,0003,0007,0000,
378,0001,0001,0003,0007,0000,
379,0001,0002,0003,0007,0000,
380,0006,0005,0010,0016,0008,
381,0006,0005,0010,0016,0008,
382,0010,0009,0023,0034,0014,
383,0029,0029,0044,0068,0046,
384,0029,0029,0047,0068,0046,
385,0089,0078,0196,0202,0103,
386,0099,0078,0279,0229,0114,
387,0099,0078,0279,0229,0114,
388,0099,0078,0245,0225,0114,
389,0099,0078,0169,0147,0092,
390,0099,0078,0130,0138,0092,
391,0091,0078,0129,0131,0088,
392,0054,0040,0070,0076,0054,
393,0044,0037,0070,0076,0054,
394,0044,0037,0056,0071,0050,
395,0044,0037,0039,0054,0029,
396,0044,0037,0039,0054,0029,
397,0044,0037,0039,0054,0029,
398,0012,0008,0024,0022,0011,
399,0012,0008,0024,0022,0011,
400,0012,0006,0024,0018,0011,
401,0002,0000,0010,0009,-002,
402,0002,0000,0010,0009,-002,
403,0002,-001,0010,0009,-002,
404,0002,0000,0005,0005,0000,
405,0002,0000,0005,0005,0000,
406,0002,0000,0005,0005,0000,
407,0001,0000,-001,0001,-005,
408,0001,0000,-001,0001,-005,
409,0001,0000,-001,0001,-005,
410,-001,-002,-001,0003,-002,
411,-001,-002,-001,0003,-002,
412,-002,-002,-001,0003,-002,
413,0007,0005,0012,0012,0003,
414,0007,0005,0012,0012,0003,
415,0010,0019,0012,0018,0015,
416,0026,0038,0038,0055,0059,
417,0026,0046,0038,0055,0059,
418,0037,0102,0055,0087,0099,
419,0037,0102,0055,0087,0099,
420,0037,0081,0055,0087,0099,
421,0037,0079,0055,0087,0099,
422,0022,0041,0028,0049,0045,
423,0022,0041,0028,0049,0045,
424,0017,0030,0028,0039,0036,
425,0003,0008,0007,0011,0005,
426,0003,0008,0007,0011,0005,
427,0003,0005,0007,0011,0005,
428,0001,-001,0004,0007,0000,
429,0001,-001,0004,0007,0000,
430,0001,-001,0004,0007,0000,
431,0005,0005,0007,0005,0004,
432,0005,0005,0007,0005,0004,
433,0005,0005,0007,0005,0004,
434,0003,0004,0004,0008,0003,
435,0003,0004,0004,0008,0003,
436,0003,0004,0006,0011,0003,
437,0008,0008,0015,0024,0011,
438,0008,0008,0015,0024,0011,
439,0012,0024,0030,0059,0031,
440,0032,0042,0044,0074,0071,
441,0032,0053,0050,0112,0086,
442,0071,0117,0066,0403,0271,
443,0071,0117,0074,0776,0366,
444,0071,0117,0074,0776,0366,
445,0071,0111,0101,0415,0263,
446,0071,0082,0101,0415,0263,
447,0064,0076,0078,0192,0138,
448,0049,0075,0062,0173,0129,
449,0018,0038,0036,0087,0058,
450,0018,0038,0036,0087,0058,
451,0018,0033,0036,0087,0058,
452,0018,0019,0036,0087,0058,
453,0018,0019,0036,0068,0058,
454,0039,0038,0046,0068,0061,
455,0039,0038,0046,0068,0061,
456,0039,0038,0044,0059,0056,
457,0039,0038,0040,0057,0056,
458,0034,0038,0040,0057,0056,
459,0032,0032,0036,0052,0045,
460,0030,0032,0036,0050,0045,
461,0030,0032,0036,0050,0045,
462,0030,0025,0035,0050,0045,
463,0031,0025,0035,0049,0045,
464,0031,0025,0035,0049,0045,
465,0031,0027,0036,0049,0050,
466,0031,0027,0036,0049,0051,
467,0031,0027,0036,0049,0051,
468,0033,0034,0041,0057,0053,
469,0041,0040,0047,0069,0065,
470,0041,0047,0057,0077,0065,
471,0050,0049,0062,0085,0080,
472,0064,0101,0104,0139,0113,
473,0070,0101,0104,0139,0113,
474,0070,0101,0090,0125,0102,
475,0070,0090,0085,0120,0100,
476,0070,0083,0085,0120,0100,
477,0053,0050,0067,0094,0079,
478,0046,0050,0059,0081,0073,
479,0046,0050,0059,0081,0073,
480,0037,0038,0044,0063,0058,
481,0037,0038,0041,0063,0058,
482,0037,0038,0041,0063,0058,
483,0037,0038,0041,0056,0048,
484,0037,0038,0041,0056,0048,
485,0036,0035,0041,0056,0048,
486,0030,0028,0032,0044,0042,
487,0030,0028,0032,0044,0042,
488,0030,0028,0032,0044,0042,
489,0028,0025,0029,0040,0040,
490,0023,0025,0029,0040,0038,
491,0023,0025,0029,0040,0038,
492,0023,0024,0030,0041,0038,
493,0027,0024,0030,0043,0041,
494,0027,0024,0030,0043,0041,
495,0027,0027,0033,0043,0041,
496,0032,0027,0033,0047,0041,
497,0032,0027,0033,0047,0041,
498,0032,0033,0039,0056,0055,
499,0046,0040,0055,0072,0071,
500,0064,0063,0087,0104,0080,
501,0083,0064,0132,0123,0093,
502,0083,0064,0191,0201,0163,
503,0083,0064,0191,0201,0163,
504,0083,0064,0172,0200,0173,
505,0083,0064,0172,0190,0148,
506,0083,0064,0145,0162,0144,
507,0072,0060,0075,0090,0087,
508,0062,0058,0075,0080,0071,
509,0052,0052,0060,0076,0071,
510,0041,0035,0042,0065,0055,
511,0041,0035,0040,0058,0055,
512,0041,0035,0040,0058,0055,
513,0041,0035,0038,0055,0049,
514,0041,0035,0038,0055,0049,
515,0035,0034,0038,0055,0049,
516,0032,0029,0035,0048,0045,
517,0029,0028,0034,0047,0044,
518,0027,0025,0031,0046,0038,
519,0027,0025,0029,0037,0040,
520,0027,0025,0029,0037,0039,
521,0027,0025,0027,0035,0039,
522,0025,0025,0027,0034,0035,
